Pathways	Compounds of pathway	Reactions of pathway	SMILES
hypusine biosynthesis	an oxidized electron carrier // H2O // an [eIF5A]-hypusine // dioxygen // a reduced two electron carrier // spermidine // propane-1,3-diamine // (E)-(4-aminobutylidene)(3-aminopropyl)amine // a [deoxyhypusine synthase]-L-lysine // a [deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine // an [eIF5A-precursor]-lysine // NAD+ // an [eIF5A-precursor]-deoxyhypusine // an [eIF5A-precursor]-N-(4-aminobutylidene)-lysine // NADH // H+	an [eIF5A-precursor]-N-(4-aminobutylidene)-lysine + NADH + H+  ->  an [eIF5A-precursor]-deoxyhypusine + NAD+ // a [deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine + an [eIF5A-precursor]-lysine  ->  an [eIF5A-precursor]-N-(4-aminobutylidene)-lysine + a [deoxyhypusine synthase]-L-lysine + H+ // (E)-(4-aminobutylidene)(3-aminopropyl)amine + a [deoxyhypusine synthase]-L-lysine  ->  a [deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine + propane-1,3-diamine // spermidine + NAD+  ->  (E)-(4-aminobutylidene)(3-aminopropyl)amine + NADH + H+ // an [eIF5A-precursor]-deoxyhypusine + reduced two electron carrier + dioxygen  ->  an [eIF5A]-hypusine + oxidized electron carrier + H2O	O // C([NH3+])C[C@@H](O)CNCCCC[C@H](N[an eIF5A protein])C([an eIF5A protein])=O // O=O // [an oxidized electron carrier] // C([NH3+])CC[NH2+]CCCC[NH3+] // C(CC[NH3+])[NH3+] // C([NH3+])CC/[NH+]=C/CCC[NH3+] // C([NH3+])CCC[C@@H](C(=O)[a deoxyhypusine synthase])[N-][a deoxyhypusine synthase] // C([NH3+])CC\C=N/CCCC[C@H](N[a deoxyhypusine synthase])C([a deoxyhypusine synthase])=O // C([NH3+])CCC[C@@H](C(=O)[a protein])N[a protein] // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C([NH3+])CCCNCCCC[C@H](N[an eIF5A protein])C([an eIF5A protein])=O // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // [H+]
urea cycle	carboxyphosphate // carbamate // AMP // diphosphate // L-aspartate // L-citrulline // fumarate // L-arginino-succinate // L-ornithine // urea // H2O // L-arginine // H+ // carbamoyl phosphate // phosphate // ADP // ATP // hydrogen carbonate // ammonium	2 ATP + hydrogen carbonate + ammonium  ->  2 ADP + carbamoyl phosphate + phosphate + 2 H+ // L-arginine + H2O  ->  urea + L-ornithine // L-arginino-succinate  ->  L-arginine + fumarate // L-aspartate + L-citrulline + ATP  ->  L-arginino-succinate + AMP + diphosphate + H+ // L-ornithine + carbamoyl phosphate  ->  L-citrulline + phosphate + H+	C(=O)([O-])OP([O-])(=O)O // C(=O)([O-])N // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(C(=O)[O-])[C@H]([NH3+])C(=O)[O-] // C(NC(N)=O)CC[C@H]([NH3+])C(=O)[O-] // C(/C([O-])=O)=C\C(=O)[O-] // C(NC(NC(CC(=O)[O-])C(=O)[O-])=[NH2+])CC[C@@H](C(=O)[O-])[NH3+] // C([NH3+])CC[C@H]([NH3+])C(=O)[O-] // C(=O)(N)N // O // C(NC(N)=[NH2+])CC[C@H]([NH3+])C(=O)[O-] // [H+] // C(=O)(N)OP(=O)([O-])[O-] // [O-]P(=O)(O)[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([O-])(=O)O // [NH4+]
cardiolipin biosynthesis	sn-glycerol 3-phosphate // phosphate // a phosphatidylglycerophosphate // H2O // H+ // CMP // a cardiolipin // a CDP-diacylglycerol // a phosphatidylglycerol	a CDP-diacylglycerol + a phosphatidylglycerol  ->  a cardiolipin + CMP + H+ // a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate // a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+	C(OP([O-])(=O)[O-])[C@H](O)CO // [O-]P(=O)(O)[O-] // C(OP([O-])(=O)[O-])[C@@H](COP([O-])(=O)OC[C@H](OC(=O)[R2])COC(=O)[R1])O // O // [H+] // C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OP([O-])(OC[C@H](OC(=O)[R4])COC(=O)[R3])=O)[C@H](O)COP([O-])(OC[C@H](OC(=O)[R2])COC(=O)[R1])=O // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // C(O)[C@@H](COP([O-])(=O)OC[C@H](OC(=O)[R2])COC(=O)[R1])O
superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	oxalosuccinate // e- // acetate // acetaldehyde // CO2 // 2-oxoglutarate // D-threo-isocitrate // 6-phospho D-glucono-1,5-lactone // D-glucopyranose 6-phosphate // ADP // ATP // NAD+ // a ubiquinol // a ubiquinone // NADH // H+ // NADPH // a carboxylate // an aldehyde // NADP+ // H2O	an aldehyde + NADP+ + H2O  ->  a carboxylate + NADPH + 2 H+ // NADH[in] + a ubiquinone[membrane] + H+[in]  ->  NAD+[in] + a ubiquinol[membrane] // an aldehyde + NAD+ + H2O  ->  a carboxylate + NADH + 2 H+ // ATP + NADH  ->  ADP + NADPH + H+ // D-glucopyranose 6-phosphate + NADP+  ->  6-phospho D-glucono-1,5-lactone + NADPH + H+ // D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH // acetaldehyde + NADP+ + H2O  ->  acetate + NADPH + 2 H+ // ATP + NAD+  ->  ADP + NADP+ + H+	C(C([O-])=O)C(C(C(=O)[O-])=O)C([O-])=O // CC([O-])=O // CC=O // C(=O)=O // C(CC([O-])=O)C(=O)C([O-])=O // C(=O)([C@@H](CC([O-])=O)[C@@H](O)C([O-])=O)[O-] // C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)C(=O)O1) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C([R])C(\C)=C/CC1(\C(\O)=C(C(\OC)=C(C(/C)=1)\O)\OC) // C([R])C(\C)=C/CC1(\C(=O)C(\OC)=C(C(=O)C(/C)=1)\OC) // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // [H+] // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // C([R])(=O)[O-] // C(=O)[R] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // O
adenosine deoxyribonucleotides de novo biosynthesis	a reduced thioredoxin // an oxidized thioredoxin // H2O // ADP // dATP // dADP // ATP	dADP + ATP  ->  dATP + ADP // ADP reductase	C(S)C(C(=O)NC([R1])C(=O)NC([R2])C(=O)NC(CS)C(=O)[a thioredoxin])N[a thioredoxin] // C1(=O)(NC([R2])C(=O)NC(CSSCC(N[a thioredoxin])C(=O)NC([R1])1)C(=O)[a thioredoxin]) // O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
periplasmic NAD degradation	phosphate // adenosine // AMP // beta-nicotinamide D-ribonucleotide // H+ // H2O // NAD+	NAD+ + H2O  ->  beta-nicotinamide D-ribonucleotide + AMP + 2 H+ // AMP + H2O  ->  adenosine + phosphate	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
L-malate degradation II	oxaloacetate // H+ // NADH // CO2 // pyruvate // (S)-malate // NAD+	(S)-malate + NAD+  ->  pyruvate + CO2 + NADH	C(C([O-])=O)C(=O)C([O-])=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(=O)=O // CC(=O)C(=O)[O-] // C(=O)([O-])C[C@H](O)C([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
oleate beta-oxidation (thioesterase-dependent)	(2E,5Z)-tetradec-2,5-enoyl-CoA // coenzyme A // (3E,5Z)-tetradeca-3,5-dienoate // H+ // (3E,5Z)-tetradeca-3,5-dienoyl-CoA // H2O	(3E,5Z)-tetradeca-3,5-dienoyl-CoA + H2O  ->  (3E,5Z)-tetradeca-3,5-dienoate + coenzyme A + H+ // (2E,5Z)-tetradec-2,5-enoyl-CoA  <-->  (3E,5Z)-tetradeca-3,5-dienoyl-CoA	CCCCCCCC\C=C/C/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CCCCCCCC\C=C/C=C/CC(=O)[O-] // [H+] // CCCCCCCC\C=C/C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O // O
4-methyl-5(beta-hydroxyethyl)thiazole salvage	diphosphate // thiamine phosphate // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine // 4-methyl-5-(2-phosphooxyethyl)thiazole // ADP // H+ // ATP // 5-(2-hydroxyethyl)-4-methylthiazole	ATP + 5-(2-hydroxyethyl)-4-methylthiazole  ->  ADP + 4-methyl-5-(2-phosphooxyethyl)thiazole + H+ // 4-methyl-5-(2-phosphooxyethyl)thiazole + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + H+  ->  thiamine phosphate + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C/SC(/CCOP([O-])(=O)[O-])=2) // CC1(\N=C(C(/COP([O-])(=O)OP([O-])(=O)[O-])=C\N=1)\N) // CC1(\N=C/SC(/CCOP([O-])(=O)[O-])=1) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [H+] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC1(\N=C/SC(/CCO)=1)
L-homocysteine biosynthesis	acetate // L-homocysteine // H+ // hydrogen sulfide // coenzyme A // O-acetyl-L-homoserine // L-homoserine // acetyl-CoA	L-homoserine + acetyl-CoA  <-->  O-acetyl-L-homoserine + coenzyme A // O-acetyl-L-homoserine + hydrogen sulfide  <-->  L-homocysteine + acetate + H+	CC([O-])=O // C(S)C[C@@H](C(=O)[O-])[NH3+] // [H+] // S // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CC(OCC[C@@H](C([O-])=O)[NH3+])=O // C(O)C[C@H]([NH3+])C([O-])=O // CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O
4-hydroxybenzoate biosynthesis I (eukaryotes)	3-hydroxy-3-(4-hydroxyphenyl)propanoate // L-glutamate // 3-(4-hydroxyphenyl)pyruvate // L-tyrosine // 2-oxoglutarate // H+ // NADH // 4-hydroxybenzoate // NAD+ // acetate // 4-hydroxybenzaldehyde // H2O // (R)-3-(4-hydroxyphenyl)lactoyl-CoA // 4-coumarate // (E)-4-coumaroyl-CoA // (R)-3-(4-hydroxyphenyl)lactate	(E)-4-coumaroyl-CoA + (R)-3-(4-hydroxyphenyl)lactate  <-->  4-coumarate + (R)-3-(4-hydroxyphenyl)lactoyl-CoA // 4-coumarate + H2O  ->  4-hydroxybenzaldehyde + acetate // 4-hydroxybenzaldehyde + NAD+ + H2O  ->  4-hydroxybenzoate + NADH + 2 H+ // L-tyrosine + 2-oxoglutarate  <-->  3-(4-hydroxyphenyl)pyruvate + L-glutamate // (R)-3-(4-hydroxyphenyl)lactate + NAD+  <-  3-(4-hydroxyphenyl)pyruvate + NADH + H+	C(=O)([O-])CC(O)C1(\C=C/C(/O)=C\C=1) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C1(\C(/CC(C([O-])=O)=O)=C/C=C(\C=1)/O) // C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-] // C(CC([O-])=O)C(=O)C([O-])=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(C1(\C=C/C(/O)=C\C=1))(=O)[O-] // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // CC([O-])=O // C(C1(\C=C/C(/O)=C\C=1))=O // O // CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](O)CC1(\C=C/C(/O)=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-] // C(=O)([O-])/C=C/C1(\C=C/C(/O)=C\C=1) // CC(C)(COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C4(\C=C/C(/O)=C\C=4) // C1(\C(/C[C@H](C([O-])=O)O)=C/C=C(\C=1)/O)
fatty acid activation	AMP // diphosphate // a long-chain fatty acyl-CoA // a long-chain fatty acid // coenzyme A // ATP	a long-chain fatty acid + coenzyme A + ATP  ->  a long-chain fatty acyl-CoA + AMP + diphosphate	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C([R])(=O)[O-] // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
urea degradation I	phosphate // ADP // urea // ATP // urea-1-carboxylate // H2O // CO2 // ammonium // carbamate // H+	cyanase // urea-1-carboxylate + H2O  ->  2 carbamate + H+ // CO2 + urea + ATP + H2O  ->  ADP + urea-1-carboxylate + phosphate + 2 H+	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
glycerol-3-phosphate shuttle	e- // H+ // NADH // NAD+ // glycerone phosphate // ubiquinol-6 // ubiquinone-6 // sn-glycerol 3-phosphate	sn-glycerol 3-phosphate:ubiquinone oxidoreductase // sn-glycerol 3-phosphate + NAD+  <-  glycerone phosphate + NADH + H+	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
pentose phosphate pathway (non-oxidative branch)	beta-D-fructofuranose 6-phosphate // D-erythrose 4-phosphate // D-sedoheptulose 7-phosphate // D-glyceraldehyde 3-phosphate // D-xylulose 5-phosphate // D-ribulose 5-phosphate // D-ribose 5-phosphate	D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate // D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate // D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  D-ribose 5-phosphate + D-xylulose 5-phosphate // D-erythrose 4-phosphate + D-xylulose 5-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate // D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-erythrose 4-phosphate	C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1) // C([C@@H]([C@@H](COP([O-])([O-])=O)O)O)=O // C(O)C([C@@H](O)[C@@H]([C@H](O)[C@@H](COP(=O)([O-])[O-])O)O)=O // C(=O)[C@H](O)COP(=O)([O-])[O-] // C(OP([O-])(=O)[O-])[C@@H](O)[C@H](O)C(=O)CO // C([C@H]([C@H](C(CO)=O)O)O)OP([O-])([O-])=O // C(=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O
L-methionine degradation I (to L-homocysteine)	diphosphate // phosphate // ATP // L-methionine // adenosine // L-homocysteine // H2O // H+ // a methylated methyl acceptor // S-adenosyl-L-homocysteine // S-adenosyl-L-methionine // a demethylated methyl acceptor	demethylated methyl acceptor + S-adenosyl-L-methionine  <-  S-adenosyl-L-homocysteine + methylated methyl acceptor + H+ // S-adenosyl-L-homocysteine + H2O  ->  L-homocysteine + adenosine // ATP + L-methionine + H2O  ->  S-adenosyl-L-methionine + phosphate + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // [O-]P(=O)(O)[O-] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CSCC[C@H]([NH3+])C([O-])=O // C(O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(S)C[C@@H](C(=O)[O-])[NH3+] // O // [H+] // C[R] // C(SC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))C[C@@H](C(=O)[O-])[NH3+] // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+] // [R]
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	oxalosuccinate // NAD+ // acetate // acetaldehyde // H2O // CO2 // 2-oxoglutarate // D-threo-isocitrate // 6-phospho D-glucono-1,5-lactone // D-glucopyranose 6-phosphate // NADP+ // ADP // NADPH // H+ // NADH // ATP	ATP + NADH  ->  ADP + NADPH + H+ // D-glucopyranose 6-phosphate + NADP+  ->  6-phospho D-glucono-1,5-lactone + NADPH + H+ // D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH // acetaldehyde + NADP+ + H2O  ->  acetate + NADPH + 2 H+ // ATP + NAD+  ->  ADP + NADP+ + H+	C(C([O-])=O)C(C(C(=O)[O-])=O)C([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // CC([O-])=O // CC=O // O // C(=O)=O // C(CC([O-])=O)C(=O)C([O-])=O // C(=O)([C@@H](CC([O-])=O)[C@@H](O)C([O-])=O)[O-] // C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)C(=O)O1) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
geranylgeranyl diphosphate biosynthesis	diphosphate // geranylgeranyl diphosphate // 3-methylbut-3-en-1-yl diphosphate // (2E,6E)-farnesyl diphosphate	3-methylbut-3-en-1-yl diphosphate + (2E,6E)-farnesyl diphosphate  ->  geranylgeranyl diphosphate + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-] // C=C(C)CCOP([O-])(=O)OP([O-])(=O)[O-] // CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
NAD salvage pathway V (PNC V cycle)	phosphate // ADP // beta-nicotinate D-ribonucleotide // 5-phospho-alpha-D-ribose 1-diphosphate // nicotinate // ammonium // diphosphate // AMP // L-glutamate // H+ // ATP // nicotinate adenine dinucleotide // L-glutamine // nicotinamide // 2''-O-acetyl-ADP-ribose // a [histone]-L-lysine // a [histone]-N6-acetyl-L-lysine // NAD+ // H2O	a [histone]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [histone]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // nicotinamide + H2O  ->  ammonium + nicotinate // nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
cytochrome c biogenesis	an apo-[c-type cytochrome] with reduced L-cysteine residues // protoheme // a c-type cytochrome	c-type cytochrome  <-  protoheme + apo-[c-type cytochrome] with reduced L-cysteine residues	CC3(\C6(\[N+]4(\[Fe-2]17([N+]5(\C8(/C(\C)=C(C(\C=C2(C(/C)=C(CCC(=O)[O-])/C(/N12)=C/C(/C(\CCC(=O)[O-])=3)=4))=5)/C(SC[C@H](NC(C([R2])NC(=O)[C@H]([R1])NC(=O)[C@H](CSC(C)C9(\C(/C)=C(\C=6)/N7C(\C=8)=9))N[an apo-[c-type cytochrome] with reduced L-cysteine residues])=O)C(N[C@@H](CC%10(\N=C/N\C=%10))C(=O)O[an apo-[c-type cytochrome] with reduced L-cysteine residues])=O)C)))))) // C=CC4(\C(/C)=C5(\C=C6(C(/C)=C(CCC(=O)[O-])/C7(\C=C8(C(/CCC(=O)[O-])=C(C)/C1(/N([Fe-2]3(N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=[N+]2/3))=4)5)([N+]/6=7))8))))))
